council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url
oakland,7b3893c7f091,2021-02-16 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/5d244af7a6d6?s=0,https://oakland.legistar1.com/oakland/meetings/2021/2/8482_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-02-16_Meeting_Minutes.pdf
oakland,7756a362ae43,2021-03-16 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/10f269a1a02d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8491_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-16_Meeting_Minutes.pdf
oakland,d0a9aa69ba27,2021-03-29 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/cac87ea40724?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8499_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-29_Meeting_Minutes.pdf
oakland,ce13df196e58,2021-03-30 16:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/1c5ff4d5383b?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8489_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-30_Meeting_Minutes.pdf
oakland,7719f0e0db99,2021-04-20 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/564020f1c3fd?s=0,https://oakland.legistar1.com/oakland/meetings/2021/4/8504_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-04-20_Meeting_Minutes.pdf
oakland,18d9c4e043cd,2021-05-03 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/5712e00a80eb?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8523_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-05-03_Meeting_Minutes.pdf
oakland,a8cdb7d35a88,2021-05-04 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/b664cfb5202c?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8528_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-05-04_Meeting_Minutes.pdf
oakland,f5125c773d51,2021-05-26 16:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/17a531d2554d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8538_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-05-26_Meeting_Minutes.pdf
oakland,e72fd9ec7f60,2021-06-24 17:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/0fbe6a1c73ea?s=0,https://oakland.legistar1.com/oakland/meetings/2021/6/8533_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-06-24_Meeting_Minutes.pdf
oakland,b9d22f4e51f8,2021-07-26 20:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/27de0ef7c3ec?s=0,https://oakland.legistar1.com/oakland/meetings/2021/7/8566_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-07-26_Meeting_Minutes.pdf
