council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,audio_url,year
richmond,8d1c1d0572fd,2021-03-01 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/0a96936e9597?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/3/3929_M_City_Council_21-03-01_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/7ea9084d7b514ffc07fdcad3ed1c5e7ed1088617962c34de18c2b65035d2909e-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/7ea9084d7b514ffc07fdcad3ed1c5e7ed1088617962c34de18c2b65035d2909e-audio.wav,2021
richmond,a80c4c713e17,2021-03-08 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/80200efb5326?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/3/3703_M_City_Council_21-03-08_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/cb593c5004c8d269bac05f135f6203bdbc94459aed46ae7f4d42ec1f03d4ba0d-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/cb593c5004c8d269bac05f135f6203bdbc94459aed46ae7f4d42ec1f03d4ba0d-audio.wav,2021
richmond,a96cd7e421c3,2021-03-22 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/5f210928b8a6?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/3/3704_M_City_Council_21-03-22_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/0aea09d7dbde50a55ed925e538f4b0bcf6da7feedc02dd45ff954f88278cf222-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/0aea09d7dbde50a55ed925e538f4b0bcf6da7feedc02dd45ff954f88278cf222-audio.wav,2021
richmond,5d1cc815d080,2021-04-05 21:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/cbe0db09e235?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/4/3945_M_City_Council_21-04-05_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/b0629e2207ee8bbf14c0e1444ad39af06b28ac51c72357b0470f4f80b4e9ca1f-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/b0629e2207ee8bbf14c0e1444ad39af06b28ac51c72357b0470f4f80b4e9ca1f-audio.wav,2021
richmond,bbf6a25dae6a,2021-04-28 17:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/230f24c8c226?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/3cd3732b6738d14c4e274ef1e6caeccce14db3a6ec0309d2afc8cfc160ffa77d-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/3cd3732b6738d14c4e274ef1e6caeccce14db3a6ec0309d2afc8cfc160ffa77d-audio.wav,2021
richmond,ccfdc9afc698,2021-07-12 19:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/a0a6e4675b99?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/567078f35be7a66b0b21c44b423b4d61b69ab68a291935ced4e77a379f08b23b-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/567078f35be7a66b0b21c44b423b4d61b69ab68a291935ced4e77a379f08b23b-audio.wav,2021
richmond,fe371eafcbd4,2021-08-02 19:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/a067c02a5e5b?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/9fa596419993ae75049a1dea4b5f67271b28a117a328e9fa1199e1f2e65b7e61-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/9fa596419993ae75049a1dea4b5f67271b28a117a328e9fa1199e1f2e65b7e61-audio.wav,2021
richmond,528f625abd6a,2021-12-06 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/2adc154d91b0?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/12/4045_M_City_Council_21-12-06_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/bdd8e5780628f134b07fb078a251a51665d2289d66f3bcbd8ba18d1afedbfa99-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/bdd8e5780628f134b07fb078a251a51665d2289d66f3bcbd8ba18d1afedbfa99-audio.wav,2021
richmond,28db9b12fece,2022-01-26 18:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/3fc2bb2a1e17?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/1/4195_M_City_Council_22-01-26_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/6dc5714c1a4b4e6eb47f27c0ed367ab3c857af81e66955df172777aab9afcf92-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/6dc5714c1a4b4e6eb47f27c0ed367ab3c857af81e66955df172777aab9afcf92-audio.wav,2022
richmond,4a32e9a69c09,2022-02-09 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/d08432651b4b?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/b5f3e1b6d8b989d1207fdbbb99356f4c7d4e980efa0cb08bf537861b455d02a3-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/b5f3e1b6d8b989d1207fdbbb99356f4c7d4e980efa0cb08bf537861b455d02a3-audio.wav,2022
